City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Pavlovka,RU,2019-11-08 05:15:31,52.69,47.13,43.95,86,100,12.53,light rain,0.81,0.0
1,Vilhena,BR,2019-11-08 05:15:31,-12.74,-60.15,68.54,98,100,2.8,light rain,0.94,0.0
2,Mehamn,NO,2019-11-08 05:13:24,71.03,27.85,30.2,92,40,10.29,scattered clouds,0.0,0.0
3,Aykhal,RU,2019-11-08 05:15:32,65.95,111.51,-13.01,83,57,4.47,broken clouds,0.0,0.0
4,Belebey,RU,2019-11-08 05:15:32,54.12,54.12,36.41,83,94,5.19,overcast clouds,0.0,0.0
5,Maragogi,BR,2019-11-08 05:13:34,-9.01,-35.22,79.32,74,89,13.49,light rain,0.25,0.0
6,Namibe,AO,2019-11-08 05:15:09,-15.19,12.15,73.13,83,89,7.7,light rain,0.75,0.0
7,Necochea,AR,2019-11-08 05:13:36,-38.55,-58.74,43.39,78,3,3.27,clear sky,0.0,0.0
8,Ushuaia,AR,2019-11-08 05:12:53,-54.81,-68.31,35.6,98,40,26.4,scattered clouds,0.0,0.0
9,Port Alfred,ZA,2019-11-08 05:15:12,-33.59,26.89,66.15,62,59,17.05,broken clouds,0.0,0.0
10,Hervey Bay,AU,2019-11-08 05:13:53,-25.3,152.85,86.0,48,0,25.28,clear sky,0.0,0.0
11,Nanortalik,GL,2019-11-08 05:15:33,60.14,-45.24,35.49,76,83,17.36,broken clouds,0.0,0.0
12,Murakami,JP,2019-11-08 05:15:33,38.29,139.58,53.6,50,75,6.93,broken clouds,0.0,0.0
13,Gat,SN,2019-11-08 05:13:52,14.69,-16.54,71.6,83,62,17.22,broken clouds,0.0,0.0
14,Kapaa,US,2019-11-08 05:15:24,22.08,-159.32,73.4,73,75,8.05,broken clouds,0.0,0.0
15,Salym,RU,2019-11-08 05:15:34,60.06,71.48,14.07,86,100,11.1,overcast clouds,0.0,0.0
16,Bagotville,AU,2019-11-08 05:15:34,-28.98,153.42,102.2,6,0,19.46,clear sky,0.0,0.0
17,Hobart,AU,2019-11-08 05:14:30,-42.88,147.33,50.0,53,75,12.75,light intensity shower rain,0.0,0.0
18,Yellowknife,CA,2019-11-08 05:13:03,62.45,-114.38,12.2,85,90,6.93,light snow,0.0,0.0
19,Kimbe,PG,2019-11-08 05:14:23,-5.56,150.15,80.85,85,97,3.0,light rain,2.19,0.0
20,Bethel,US,2019-11-08 05:13:48,60.79,-161.76,30.2,100,90,12.75,light rain,0.0,0.0
21,Punta Arenas,CL,2019-11-08 05:14:13,-53.16,-70.91,35.6,79,20,4.7,few clouds,0.0,0.0
22,Kuruman,ZA,2019-11-08 05:15:36,-27.46,23.43,68.2,13,20,17.94,few clouds,0.0,0.0
23,Baft,IR,2019-11-08 05:15:36,29.23,56.61,56.98,30,0,2.59,clear sky,0.0,0.0
24,Thinadhoo,MV,2019-11-08 05:15:36,0.53,72.93,82.49,72,90,9.48,overcast clouds,0.0,0.0
25,Tiksi,RU,2019-11-08 05:13:03,71.64,128.87,-3.84,96,97,5.97,overcast clouds,0.0,0.0
26,Puerto Ayacucho,CO,2019-11-08 05:15:37,5.66,-67.63,72.84,96,100,2.15,overcast clouds,0.0,0.0
27,Bredasdorp,ZA,2019-11-08 05:13:06,-34.53,20.04,61.14,70,7,3.78,clear sky,0.0,0.0
28,Kaitangata,NZ,2019-11-08 05:14:03,-46.28,169.85,56.14,75,79,6.06,broken clouds,0.0,0.0
29,Tutoia,BR,2019-11-08 05:15:37,-2.76,-42.27,73.17,93,16,3.83,few clouds,0.0,0.0
30,Esperance,AU,2019-11-08 05:15:15,-33.86,121.89,64.4,68,90,11.41,overcast clouds,0.0,0.0
31,Asosa,ET,2019-11-08 05:15:38,10.07,34.53,72.05,84,52,3.76,light rain,1.81,0.0
32,Antofagasta,CL,2019-11-08 05:13:48,-23.65,-70.4,60.8,77,90,3.36,overcast clouds,0.0,0.0
33,Atuona,PF,2019-11-08 05:13:01,-9.8,-139.03,80.58,78,0,14.56,light rain,0.44,0.0
34,Coquimbo,CL,2019-11-08 05:12:20,-29.95,-71.34,57.2,82,0,4.7,clear sky,0.0,0.0
35,Longyearbyen,NO,2019-11-08 05:15:27,78.22,15.63,17.6,67,20,6.93,few clouds,0.0,0.0
36,Mataura,NZ,2019-11-08 05:14:56,-46.19,168.86,61.05,56,43,5.75,scattered clouds,0.0,0.0
37,Bluff,AU,2019-11-08 05:13:07,-23.58,149.07,98.49,7,0,15.32,clear sky,0.0,0.0
38,Jamestown,AU,2019-11-08 05:15:18,-33.21,138.6,58.87,40,29,20.96,scattered clouds,0.0,0.0
39,Bumbuna,SL,2019-11-08 05:15:40,9.05,-11.73,68.88,97,95,0.63,light rain,0.19,0.0
40,Acapulco,MX,2019-11-08 05:11:09,16.86,-99.88,80.6,88,40,4.7,scattered clouds,0.0,0.0
41,Bahia Blanca,AR,2019-11-08 05:15:40,-38.72,-62.27,50.68,48,97,11.54,overcast clouds,0.0,0.0
42,Cockburn Town,TC,2019-11-08 05:15:40,21.46,-71.14,82.22,79,3,16.37,clear sky,0.0,0.0
43,Hithadhoo,MV,2019-11-08 05:14:28,-0.6,73.08,82.47,68,0,6.2,clear sky,0.0,0.0
