City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Hervey Bay,AU,86.0,clear sky,-25.3,152.85,Shelly Bay Resort
24,Thinadhoo,MV,82.49,overcast clouds,0.53,72.93,
40,Acapulco,MX,80.6,scattered clouds,16.86,-99.88,Crowne Plaza Acapulco
42,Cockburn Town,TC,82.22,clear sky,21.46,-71.14,Osprey Beach Hotel
43,Hithadhoo,MV,82.47,clear sky,-0.6,73.08,Scoop Guest House
45,Jieshi,CN,79.23,clear sky,22.82,115.83,Yuehai Hotel
49,Hilo,US,78.8,scattered clouds,19.71,-155.08,Hilo Seaside Hotel
54,Dosso,NE,76.12,clear sky,13.05,3.19,Hotel Toubal
55,Townsville,AU,86.0,clear sky,-19.26,146.82,Rydges Southbank Townsville
64,Vaini,IN,75.2,scattered clouds,15.34,74.49,Dandeli Lake County
78,Bhayavadar,IN,86.31,clear sky,21.39,70.99,vraj Gau Shala Hamapur
80,Faanui,PF,80.94,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
85,Cairns,AU,82.4,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
94,Mahebourg,MU,77.0,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
109,Bambous Virieux,MU,80.6,broken clouds,-20.34,57.76,Casa Tia Villa
120,Pandamatenga,BW,84.25,clear sky,-18.54,25.64,Wildtrack Safaris Eco Lodge
122,Isangel,VU,78.8,broken clouds,-19.55,169.27,Volcano Sea View Tree House
125,Naze,NG,75.45,broken clouds,5.43,7.07,Female Hostel C
129,Honiara,SB,86.0,light thunderstorm,-9.43,159.96,Heritage Park Hotel
131,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
150,Riohacha,CO,79.57,broken clouds,11.54,-72.91,Hotel Taroa
172,Gouyave,GD,82.4,few clouds,12.16,-61.73,Rumboat Retreat
173,Kavaratti,IN,84.2,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
176,Taclobo,PH,84.06,scattered clouds,12.31,122.59,Seabreeze Inn
177,Airai,TL,82.63,clear sky,-8.93,125.41,Juvinal Martin
183,Chirongui,YT,84.2,scattered clouds,-12.93,45.15,La Villa Mahatsara
186,Sompeta,IN,79.0,overcast clouds,18.93,84.6,V.B.R A/C Lodge And Function Hall
198,Georgetown,GY,75.2,few clouds,6.8,-58.16,Kanhai's Center
208,Salinopolis,BR,81.93,clear sky,-0.61,-47.36,Hotel Salinópolis
211,Rakaia,NZ,77.0,scattered clouds,-43.76,172.02,St Itas Guesthouse
213,Butaritari,KI,84.87,few clouds,3.07,172.79,Isles Sunset Lodge
215,Bubaque,GW,83.48,clear sky,11.28,-15.83,Casa Dora
218,Ntcheu,MW,75.52,few clouds,-14.82,34.64,Dear Executive Lodge
224,Lobito,AO,77.27,broken clouds,-12.35,13.55,Casa Rosa Hotel Residence
228,Lodja,CD,76.14,overcast clouds,-3.52,23.6,SANDO HOTEL
248,Kahului,US,78.8,light rain,20.89,-156.47,Maui Seaside Hotel
251,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
253,Am Timan,TD,76.23,scattered clouds,11.04,20.28,
