City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2019-11-08 04:55:03,22.08,-159.32,78.8,65,75,8.05
1,Vaini,IN,2019-11-08 04:55:03,15.34,74.49,75.2,78,40,0.76
2,San Jeronimo,PE,2019-11-08 04:55:03,-13.65,-73.37,49.37,90,84,2.73
3,Cape Town,ZA,2019-11-08 04:52:40,-33.93,18.42,59.0,67,4,18.34
4,Hithadhoo,MV,2019-11-08 04:55:03,-0.6,73.08,82.47,68,0,6.2
5,Albany,US,2019-11-08 04:55:04,42.65,-73.75,32.0,86,40,10.29
6,Khatanga,RU,2019-11-08 04:55:04,71.98,102.47,-8.94,93,42,12.5
7,Mataura,NZ,2019-11-08 04:52:45,-46.19,168.86,61.05,56,43,5.75
8,Butaritari,KI,2019-11-08 04:55:04,3.07,172.79,84.87,63,18,4.74
9,Ponta Do Sol,BR,2019-11-08 04:53:04,-20.63,-46.0,67.26,94,100,1.88
10,Pochutla,MX,2019-11-08 04:46:01,15.74,-96.47,77.0,78,40,6.93
11,Norman Wells,CA,2019-11-08 04:53:02,65.28,-126.83,12.2,85,90,10.29
12,Namibe,AO,2019-11-08 04:55:05,-15.19,12.15,73.13,83,89,7.7
13,Richards Bay,ZA,2019-11-08 04:55:05,-28.77,32.06,69.03,78,100,14.92
14,Ambilobe,MG,2019-11-08 04:46:00,-13.19,49.05,90.73,43,70,15.75
15,Yellowknife,CA,2019-11-08 04:52:05,62.45,-114.38,12.2,85,90,6.93
16,Ambikapur,IN,2019-11-08 04:55:06,23.12,83.2,77.11,37,100,5.86
17,Jizan,SA,2019-11-08 04:55:06,16.89,42.56,80.6,78,20,8.05
18,Qaanaaq,GL,2019-11-08 04:52:45,77.48,-69.36,-3.28,65,0,6.85
19,Ushuaia,AR,2019-11-08 04:52:43,-54.81,-68.31,35.6,98,40,26.4
20,Ahipara,NZ,2019-11-08 04:50:26,-35.17,173.16,64.99,90,74,14.45
21,Sechura,PE,2019-11-08 04:45:52,-5.56,-80.82,63.48,90,13,9.08
22,Ridgetown,CA,2019-11-08 04:55:08,42.44,-81.88,28.4,68,1,11.41
23,San Quintin,PH,2019-11-08 04:55:08,17.54,120.52,86.29,69,5,4.47
24,Stokmarknes,NO,2019-11-08 04:51:15,68.56,14.91,30.2,63,2,16.11
25,Nikolskoye,RU,2019-11-08 04:50:38,59.7,30.79,26.6,92,75,6.71
26,Puerto Ayora,EC,2019-11-08 04:53:29,-0.74,-90.35,68.95,90,86,5.93
27,Virginia Beach,US,2019-11-08 04:55:04,36.85,-75.98,62.6,87,90,5.82
28,Alta Floresta,BR,2019-11-08 04:55:09,-9.87,-56.08,71.2,90,100,3.8
29,Newport,GB,2019-11-08 04:55:09,51.59,-3.0,42.8,93,75,6.93
30,Bredasdorp,ZA,2019-11-08 04:55:10,-34.53,20.04,61.14,70,7,3.78
31,Te Anau,NZ,2019-11-08 04:55:10,-45.41,167.72,50.18,77,87,6.82
32,Tuktoyaktuk,CA,2019-11-08 04:55:10,69.44,-133.03,10.4,78,90,18.34
33,Bambous Virieux,MU,2019-11-08 04:55:10,-20.34,57.76,77.0,73,75,13.87
34,Atuona,PF,2019-11-08 04:55:10,-9.8,-139.03,80.58,78,0,14.56
35,Katsuura,JP,2019-11-08 04:45:26,33.93,134.5,62.6,48,75,11.41
36,Caracollo,PE,2019-11-08 04:55:11,-14.92,-70.66,45.07,79,96,3.58
37,Petropavlovsk-Kamchatskiy,RU,2019-11-08 04:51:36,53.05,158.65,44.6,93,90,29.08
38,Miragoane,HT,2019-11-08 04:55:11,18.44,-73.09,82.04,69,0,1.54
39,Moisei,RO,2019-11-08 04:55:11,47.65,24.55,42.76,74,100,3.78
40,Tasiilaq,GL,2019-11-08 04:55:12,65.61,-37.64,35.6,69,100,40.26
41,Carauari,BR,2019-11-08 04:55:12,-4.88,-66.9,72.68,97,75,2.3
42,Mahebourg,MU,2019-11-08 04:51:35,-20.41,57.7,77.0,73,75,13.87
43,Outram,MY,2019-11-08 04:55:12,1.28,103.84,84.2,66,75,6.93
44,Olyka,UA,2019-11-08 04:55:13,50.73,25.81,42.8,100,90,2.24
45,Medicine Hat,CA,2019-11-08 04:51:50,50.04,-110.68,24.8,62,1,9.17
46,Thompson,CA,2019-11-08 04:55:13,55.74,-97.86,10.4,78,90,6.93
47,Zhigansk,RU,2019-11-08 04:45:29,66.77,123.37,-19.11,95,51,7.09
48,Fortuna,US,2019-11-08 04:55:13,40.6,-124.16,48.2,100,90,3.06
49,Bluff,AU,2019-11-08 04:55:13,-23.58,149.07,98.49,7,0,15.32
50,Hermanus,ZA,2019-11-08 04:55:14,-34.42,19.24,60.87,77,7,14.32
51,Kerema,PG,2019-11-08 04:55:14,-7.96,145.78,77.02,94,86,3.71
52,Lavrentiya,RU,2019-11-08 04:55:14,65.58,-170.99,27.61,78,0,17.67
53,East London,ZA,2019-11-08 04:55:14,-33.02,27.91,62.6,59,20,17.22
54,Busselton,AU,2019-11-08 04:55:14,-33.64,115.35,74.41,47,0,2.68
55,Rikitea,PF,2019-11-08 04:52:46,-23.12,-134.97,74.55,82,81,9.91
56,Coquimbo,CL,2019-11-08 04:53:10,-29.95,-71.34,57.2,82,0,4.7
57,Punta Arenas,CL,2019-11-08 04:55:15,-53.16,-70.91,35.6,79,20,4.7
58,Adrar,DZ,2019-11-08 04:45:19,27.87,-0.29,55.4,35,0,10.29
59,New Norfolk,AU,2019-11-08 04:55:16,-42.78,147.06,50.0,53,75,12.75
60,Mizan Teferi,ET,2019-11-08 04:55:16,6.99,35.58,64.02,96,90,2.08
61,Sirvintos,LT,2019-11-08 04:55:16,55.05,24.95,41.0,93,90,4.81
62,Port Lincoln,AU,2019-11-08 04:55:16,-34.72,135.86,58.41,50,48,19.53
63,Georgetown,GY,2019-11-08 04:55:16,6.8,-58.16,75.2,100,20,2.24
64,Arraial Do Cabo,BR,2019-11-08 04:55:17,-22.97,-42.02,72.93,91,100,9.71
65,Briancon,FR,2019-11-08 04:55:17,44.9,6.65,21.07,96,100,2.17
66,Lebu,ET,2019-11-08 04:55:17,8.96,38.73,60.31,53,47,3.67
67,Ola,RU,2019-11-08 04:55:17,59.58,151.3,34.95,83,98,23.96
